G1,G2,G3,G4,G5,T
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
